Quarter,Quarterly_Average,Detached_Absorption_Quarterly_Avg,Semi_Absorption_Quarterly_Avg,Detached_Unabsorbed_Quarterly_Avg,Semi_Unabsorbed_Quarterly_Avg,Detached_Starting_Construction_Quarterly_Avg,Semi_Starting_Construction_Quarterly_Avg,Detached_Under_Construction_Quarterly_Avg,Semi_Completed_Construction_Quarterly_Avg,Detached_Completed_Construction_Quarterly_Avg,Semi_Under_Construction_Quarterly_Avg,GDP_Quarterly_Avg,CPI_Quarterly_Avg
1997-07-01,65.4,6114,985,3621.5,1108,25093,2969.5,39258.5,5137,27147,2993.5,1241346.3333333333,90.56666666666666
1997-10-01,65.56666666666666,4920.666666666667,603.6666666666666,3907,1184.3333333333333,21717.333333333332,2414.6666666666665,36214.333333333336,4874,21019.333333333332,2419,1252507.3333333333,90.5
1998-01-01,65.83333333333333,4028.3333333333335,489.6666666666667,4249,1320,20958,2790.6666666666665,34599.666666666664,5600.333333333333,20515,2361.6666666666665,1264546,91
1998-04-01,65.93333333333334,3659.6666666666665,524,4609.333333333333,1360,21674.333333333332,2524.3333333333335,36227.333333333336,5653,23607.333333333332,2812,1270590.6666666667,91.23333333333333
1998-07-01,66.06666666666666,5125.666666666667,714,4371,1305.6666666666667,25918.666666666668,3160,40644.666666666664,6195.666666666667,23962,2839.6666666666665,1278736.3333333333,91.33333333333334
1998-10-01,66.1,4776,512.3333333333334,4406,1354.3333333333333,23417.333333333332,3018.3333333333335,39217.666666666664,6172.333333333333,22443,3092.6666666666665,1297676.6666666667,91.5
1999-01-01,66.16666666666666,4062.3333333333335,517.6666666666666,4497.666666666667,1425.3333333333333,28058.666666666668,3104.3333333333335,43210,5942,24103.333333333332,3070.3333333333335,1315508.3333333333,91.7
1999-04-01,66.3,3822.3333333333335,642,4627.666666666667,1310,28870.333333333332,3152.6666666666665,48976,6234.666666666667,31661.666666666668,3214,1331290.3333333333,92.7
1999-07-01,66.66666666666667,5555.333333333333,929,4234,1074.6666666666667,34529.333333333336,3761.6666666666665,53585.666666666664,7135.333333333333,31655.666666666668,3351,1353163,93.33333333333333
1999-10-01,67.1,5271,754,4082.3333333333335,1073.6666666666667,32338,3512.6666666666665,53556.666666666664,7270,30152.666666666668,3514,1376005.6666666667,93.66666666666667
2000-01-01,67.46666666666667,4171,657.6666666666666,4222.666666666667,1129.6666666666667,29504.333333333332,3383.6666666666665,54111.666666666664,7327,29679,3293,1396762,94.13333333333333
2000-04-01,67.83333333333334,4021.3333333333335,604.6666666666666,4368.666666666667,1193.3333333333333,28541.333333333332,3319.3333333333335,56286.666666666664,7737.333333333333,29963,3469.3333333333335,1409931.6666666667,94.96666666666667
2000-07-01,68.23333333333333,5848.333333333333,884.6666666666666,3922.6666666666665,1092,33265.333333333336,3828.3333333333335,62767.333333333336,7959.666666666667,29957,3604.3333333333335,1423470.3333333333,95.86666666666666
2000-10-01,68.7,5292.666666666667,811.6666666666666,3994.6666666666665,1064.3333333333333,30022.666666666668,3649.3333333333335,63738,8819.333333333334,27497,3279,1431459.3333333333,96.53333333333333
2001-01-01,69.2,4281.666666666667,756.3333333333334,4279.666666666667,1129,24481.666666666668,3214.3333333333335,58361.666666666664,8654.666666666666,26689.333333333332,3229.6666666666665,1434274.3333333333,96.73333333333333
2001-04-01,69.73333333333333,4155.666666666667,675,4281.333333333333,1127,19140,2711,48279.333333333336,7711,25045,3355.6666666666665,1437066.6666666667,98.36666666666666
2001-07-01,70.23333333333333,6165.666666666667,990.6666666666666,3778.6666666666665,1135.6666666666667,22281.666666666668,3157.6666666666665,43296.666666666664,6881.666666666667,19860.333333333332,3118.3333333333335,1436793,98.46666666666667
2001-10-01,70.6,5965.666666666667,1158.6666666666667,3696,913.6666666666666,23925.333333333332,3303,49742.666666666664,7350.333333333333,21839,3153.6666666666665,1445452,97.56666666666666
2002-01-01,71.36666666666667,4823.333333333333,672.6666666666666,3722.6666666666665,840.3333333333334,18906.666666666668,3015,44979,6900,20383,2886.3333333333335,1468010.3333333333,98.23333333333333
2002-04-01,72.46666666666667,5065.666666666667,805.3333333333334,3616.6666666666665,849.3333333333334,19855.333333333332,3039,46742.666666666664,7457.666666666667,20396.333333333332,3101,1482138,99.7
2002-07-01,73.13333333333334,7507.333333333333,962.6666666666666,3167.3333333333335,800.3333333333334,23513.666666666668,3930,49988.333333333336,8769.666666666666,21057,3262.6666666666665,1492283,100.76666666666667
