"Canada Mortgage and Housing Corporation, housing starts, under construction and completions, all areas, quarterly c 1 2 3",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Frequency: Quarterly,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table: 34-10-0135-01 (formerly CANSIM 027-0008),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Release date: 2024-07-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Geography: Canada, Geographical region of Canada, Province or territory",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Geography,Canada,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Seasonal adjustment,Unadjusted,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Housing estimates,Type of unit,Q3 1997,Q4 1997,Q1 1998,Q2 1998,Q3 1998,Q4 1998,Q1 1999,Q2 1999,Q3 1999,Q4 1999,Q1 2000,Q2 2000,Q3 2000,Q4 2000,Q1 2001,Q2 2001,Q3 2001,Q4 2001,Q1 2002,Q2 2002,Q3 2002,Q4 2002,Q1 2003,Q2 2003,Q3 2003,Q4 2003,Q1 2004,Q2 2004,Q3 2004,Q4 2004,Q1 2005,Q2 2005,Q3 2005,Q4 2005,Q1 2006,Q2 2006,Q3 2006,Q4 2006,Q1 2007,Q2 2007,Q3 2007,Q4 2007,Q1 2008,Q2 2008,Q3 2008,Q4 2008,Q1 2009,Q2 2009,Q3 2009,Q4 2009,Q1 2010,Q2 2010,Q3 2010,Q4 2010,Q1 2011,Q2 2011,Q3 2011,Q4 2011,Q1 2012,Q2 2012,Q3 2012,Q4 2012,Q1 2013,Q2 2013,Q3 2013,Q4 2013,Q1 2014,Q2 2014,Q3 2014,Q4 2014,Q1 2015,Q2 2015,Q3 2015,Q4 2015,Q1 2016,Q2 2016,Q3 2016
,,Units,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Housing starts,Total units,"42,859","36,904","23,578","42,093","37,395","34,373","23,376","44,936","41,591","40,065","25,535","42,746","43,938","39,434","27,171","48,414","43,299","43,849","36,140","59,160","55,730","54,004","38,270","59,150","62,771","58,235","39,382","67,378","65,754","60,917","37,084","67,183","62,809","58,405","43,917","65,229","60,197","58,052","40,716","64,615","67,838","55,174","43,610","62,087","58,292","47,067","23,772","35,798","42,934","46,577","35,014","55,287","52,671","46,958","33,553","52,625","55,615","52,157","39,902","62,025","60,338","52,562","33,477","51,259","52,734","50,453","33,923","53,281","53,961","48,164","35,175","52,248","57,427","50,685","38,175","53,286","54,899"
,Single-detached,"27,875","22,311","13,300","27,590","24,262","21,279","12,387","29,208","27,010","23,585","14,428","28,504","26,638","22,614","14,631","28,713","26,908","25,774","19,594","38,808","35,217","31,755","19,639","36,617","35,225","31,746","20,580","38,368","38,066","32,157","18,492","37,864","33,364","30,743","21,517","36,337","34,636","28,823","19,221","35,673","35,174","28,849","15,329","29,267","27,724","20,882","8,814","19,029","23,173","24,643","16,889","28,958","25,929","20,778","12,265","23,677","24,803","21,647","13,116","24,812","24,896","20,833","12,065","22,490","22,667","19,671","11,217","21,494","23,265","19,539","10,266","19,284","20,397","18,178","11,819","19,826","21,774"
,Multiples,"14,984","14,593","10,278","14,503","13,133","13,094","10,989","15,728","14,581","16,480","11,107","14,242","17,300","16,820","12,540","19,701","16,391","18,075","16,546","20,352","20,513","22,249","18,631","22,533","27,546","26,489","18,802","29,010","27,688","28,760","18,592","29,319","29,445","27,662","22,400","28,892","25,561","29,229","21,495","28,942","32,664","26,325","28,281","32,820","30,568","26,185","14,958","16,769","19,761","21,934","18,125","26,329","26,742","26,180","21,288","28,948","30,812","30,510","26,786","37,213","35,442","31,729","21,412","28,769","30,067","30,782","22,706","31,787","30,696","28,625","24,909","32,964","37,030","32,507","26,356","33,460","33,125"
,Semi-detached,"3,289","2,650","1,812","2,929","2,503","2,799","1,924","3,649","2,687","2,836","2,050","3,237","3,303","2,940","2,372","3,450","3,233","2,828","2,819","3,666","3,572","3,527","2,359","3,884","3,768","3,633","2,585","4,155","3,798","3,759","2,307","4,085","3,764","3,321","2,873","4,071","3,714","3,700","2,837","4,343","3,768","3,484","2,354","3,805","3,628","2,864","1,641","3,021","3,150","3,302","2,589","4,126","3,194","3,097","2,091","3,857","3,196","3,426","2,495","4,119","3,872","3,799","2,318","3,760","3,398","3,068","2,369","4,018","3,607","3,413","2,102","3,279","2,964","2,702","1,873","3,174","2,918"
,Row,"5,162","5,047","3,336","4,362","3,759","3,830","2,657","3,703","3,836","4,699","2,479","3,728","4,385","4,655","2,708","4,149","4,185","4,124","3,118","5,193","5,360","4,811","3,761","5,063","6,099","5,420","4,103","5,983","5,864","6,117","4,337","5,930","6,273","5,594","4,410","5,579","5,683","5,291","4,464","6,845","6,358","5,614","4,139","6,049","5,946","4,734","2,175","3,191","3,850","4,692","3,565","5,483","5,461","5,348","3,318","5,166","5,173","5,790","4,757","5,694","5,788","4,737","3,557","5,345","5,682","5,409","3,556","6,353","5,749","5,790","3,355","6,498","5,678","6,080","3,877","6,088","6,426"
,Apartment and other unit type,"6,533","6,896","5,130","7,212","6,871","6,465","6,408","8,376","8,058","8,945","6,578","7,277","9,612","9,225","7,460","12,102","8,973","11,123","10,609","11,493","11,581","13,911","12,511","13,586","17,679","17,436","12,114","18,872","18,026","18,884","11,948","19,304","19,408","18,747","15,117","19,242","16,164","20,238","14,194","17,754","22,538","17,227","21,788","22,966","20,994","18,587","11,142","10,557","12,761","13,940","11,971","16,720","18,087","17,735","15,879","19,925","22,443","21,294","19,534","27,400","25,782","23,193","15,537","19,664","20,987","22,305","16,781","21,416","21,340","19,422","19,452","23,187","28,388","23,725","20,606","24,198","23,781"
