Archived - New housing price index (2007=100) 1 2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Frequency: Monthly,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table: 18-10-0052-01 (formerly CANSIM 327-0046),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Release date: 2017-03-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Geography: Canada, Geographical region of Canada, Province or territory, Census metropolitan area, Census agglomeration",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Geography,Canada,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
New housing price indexes,Jul-97,Aug-97,Sep-97,Oct-97,Nov-97,Dec-97,Jan-98,Feb-98,Mar-98,Apr-98,May-98,Jun-98,Jul-98,Aug-98,Sep-98,Oct-98,Nov-98,Dec-98,Jan-99,Feb-99,Mar-99,Apr-99,May-99,Jun-99,Jul-99,Aug-99,Sep-99,Oct-99,Nov-99,Dec-99,Jan-00,Feb-00,Mar-00,Apr-00,May-00,Jun-00,Jul-00,Aug-00,Sep-00,Oct-00,Nov-00,Dec-00,Jan-01,Feb-01,Mar-01,Apr-01,May-01,Jun-01,Jul-01,Aug-01,Sep-01,Oct-01,Nov-01,Dec-01,Jan-02,Feb-02,Mar-02,Apr-02,May-02,Jun-02,Jul-02,Aug-02,Sep-02,Oct-02,Nov-02,Dec-02,Jan-03,Feb-03,Mar-03,Apr-03,May-03,Jun-03,Jul-03,Aug-03,Sep-03,Oct-03,Nov-03,Dec-03,Jan-04,Feb-04,Mar-04,Apr-04,May-04,Jun-04,Jul-04,Aug-04,Sep-04,Oct-04,Nov-04,Dec-04,Jan-05,Feb-05,Mar-05,Apr-05,May-05,Jun-05,Jul-05,Aug-05,Sep-05,Oct-05,Nov-05,Dec-05,Jan-06,Feb-06,Mar-06,Apr-06,May-06,Jun-06,Jul-06,Aug-06,Sep-06,Oct-06,Nov-06,Dec-06,Jan-07,Feb-07,Mar-07,Apr-07,May-07,Jun-07,Jul-07,Aug-07,Sep-07,Oct-07,Nov-07,Dec-07,Jan-08,Feb-08,Mar-08,Apr-08,May-08,Jun-08,Jul-08,Aug-08,Sep-08,Oct-08,Nov-08,Dec-08,Jan-09,Feb-09,Mar-09,Apr-09,May-09,Jun-09,Jul-09,Aug-09,Sep-09,Oct-09,Nov-09,Dec-09,Jan-10,Feb-10,Mar-10,Apr-10,May-10,Jun-10,Jul-10,Aug-10,Sep-10,Oct-10,Nov-10,Dec-10,Jan-11,Feb-11,Mar-11,Apr-11,May-11,Jun-11,Jul-11,Aug-11,Sep-11,Oct-11,Nov-11,Dec-11,Jan-12,Feb-12,Mar-12,Apr-12,May-12,Jun-12,Jul-12,Aug-12,Sep-12,Oct-12,Nov-12,Dec-12,Jan-13,Feb-13,Mar-13,Apr-13,May-13,Jun-13,Jul-13,Aug-13,Sep-13,Oct-13,Nov-13,Dec-13,Jan-14,Feb-14,Mar-14,Apr-14,May-14,Jun-14,Jul-14,Aug-14,Sep-14,Oct-14,Nov-14,Dec-14,Jan-15,Feb-15,Mar-15,Apr-15,May-15,Jun-15,Jul-15,Aug-15,Sep-15,Oct-15,Nov-15,Dec-15,Jan-16,Feb-16,Mar-16,Apr-16,May-16,Jun-16,Jul-16
,"Index, 2007=100",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total (house and land),65.4,65.4,65.4,65.4,65.6,65.7,65.8,65.8,65.9,65.9,65.9,66,66.1,66.1,66,66.1,66.1,66.1,66.1,66.1,66.3,66.3,66.3,66.3,66.5,66.7,66.8,66.9,67.1,67.3,67.3,67.5,67.6,67.7,67.9,67.9,68.1,68.2,68.4,68.5,68.8,68.8,69,69.2,69.4,69.6,69.7,69.9,70.1,70.2,70.4,70.4,70.6,70.8,71,71.4,71.7,72.1,72.6,72.7,72.9,73.2,73.3,73.7,74.2,74.4,74.6,75,75.1,75.4,75.8,76,76.3,76.7,77,77.4,77.9,78.1,78.4,78.7,78.9,79.6,80.2,80.8,80.9,81.3,81.5,81.7,82,82.2,82.4,82.7,83,83.4,83.9,84.5,84.7,85,85.5,86.1,86.5,87.1,87.9,88.4,89.3,90.4,91.5,92.8,93.8,95.2,95.7,95.9,96.4,96.4,96.8,97.2,97.6,98.4,99.4,100,101,101.4,101.7,101.8,102.3,102.4,103,103.3,103.6,103.6,103.5,103.6,103.7,103.7,103.7,103.3,103,102.9,102.2,101.5,101,100.5,100.3,100.1,100.4,100.5,100.9,101.2,101.6,101.9,102.3,102.4,102.7,102.9,103.3,103.4,103.3,103.4,103.6,103.6,103.9,104,104.2,104.6,104.6,104.9,105.3,105.6,105.7,105.8,106,106.2,106.5,106.6,106.7,107,107.3,107.5,107.8,108,108.1,108.3,108.5,108.7,108.8,109,109.1,109.3,109.4,109.6,109.7,109.9,110.1,110.2,110.2,110.3,110.3,110.4,110.7,110.9,111.1,111.3,111.4,111.6,111.6,111.9,112,112.1,112.2,112.3,112.2,112.4,112.4,112.5,112.7,113,113.1,113.4,113.5,113.8,114,114.1,114.2,114.4,114.6,114.9,115.7,115.8,116.3
House only,61.5,61.5,61.5,61.4,61.8,61.9,62,62.1,62.2,62.2,62.3,62.4,62.5,62.4,62.4,62.5,62.5,62.5,62.5,62.7,62.8,62.9,62.9,63,63.1,63.3,63.6,63.7,64,64.2,64.2,64.6,64.7,64.8,65,65,65.1,65.4,65.6,65.7,66.1,66.1,66.4,66.6,66.8,67.1,67.2,67.5,67.8,67.9,68.1,68.1,68.4,68.5,68.8,69.5,69.7,70.4,70.9,71.1,71.2,71.7,71.8,72.4,73,73.2,73.5,74.1,74.1,74.5,75,75.2,75.5,76,76.4,76.8,77.6,77.8,78.1,78.5,78.8,79.5,80.3,80.8,80.9,81.3,81.6,81.8,82.2,82.4,82.6,82.9,83.2,83.6,84,84.2,84.4,84.7,85.2,86,86.4,87.1,88,88.7,89.7,90.9,91.9,93.3,94.1,95.6,96.1,96.2,96.6,96.5,96.9,97.4,97.7,98.4,99.6,100.1,100.8,101.4,101.7,101.7,102.2,102.3,102.9,103.2,103.3,103.2,103.1,103.1,103.2,103.2,103.1,102.4,101.8,101.6,101,100.1,99.6,98.8,98.7,98.6,98.9,99.1,99.8,100.2,100.7,101.3,101.8,102,102.6,102.8,103.3,103.5,103.4,103.6,103.6,103.6,103.8,103.7,104,104.3,104.5,104.9,105.4,105.8,105.8,105.9,106.2,106.4,106.8,106.8,106.9,107.1,107.5,107.8,108.1,108.4,108.5,108.7,108.9,109.3,109.4,109.6,109.8,109.9,110,110.2,110.4,110.5,110.8,110.9,110.9,111,111.1,111.2,111.5,111.9,112,112.3,112.5,112.7,112.7,113,113.1,113.2,113.3,113.4,113.3,113.5,113.6,113.7,113.7,113.9,114.2,114.5,114.7,115,115.2,115.4,115.6,116,116.2,116.6,117.7,117.8,118.4
Land only,74.8,74.8,74.8,74.9,74.9,75,75,75,75.1,75.1,75.1,75.1,75.1,75.3,75.2,75.1,75.1,75.3,75.3,75.3,75.3,75.3,75.1,75.2,75.3,75.3,75.4,75.4,75.4,75.5,75.5,75.5,75.6,75.6,75.7,75.7,75.8,75.9,76,76.1,76.1,76.2,76.2,76.2,76.2,76.3,76.5,76.5,76.5,76.6,76.6,76.7,76.8,76.8,76.8,76.9,77.1,77.2,77.3,77.4,77.4,77.6,77.6,77.7,77.8,77.9,78,78.1,78.1,78.2,78.4,78.5,78.5,78.7,78.9,79.1,79.1,79.2,79.3,79.4,79.6,80.1,80.4,81,81.1,81.5,81.6,81.8,82,82.3,82.4,82.6,83,83.4,83.8,85.3,85.4,85.7,86.1,86.4,86.7,87.1,87.4,87.7,88.4,89.1,90.4,91.7,92.9,94.1,94.7,95,95.9,96.4,96.5,96.9,97.4,98.3,99.1,99.9,101.4,101.5,101.7,102,102.4,102.7,103.2,103.7,104.1,104.4,104.4,104.7,104.8,104.9,105.2,105.5,105.6,105.5,104.9,104.3,103.8,103.7,103.4,103.2,103.2,103.1,103.2,103,103.2,103.2,103.2,103,102.7,102.8,103,103,102.8,102.8,103.3,103.4,103.7,103.9,104,104.4,104.3,104.4,104.8,104.8,105,105.1,105.1,105.3,105.5,105.7,105.9,106.1,106.3,106.4,106.6,106.8,106.8,106.9,107,107.1,107.1,107.2,107.4,107.5,107.6,107.6,107.8,107.9,108,108.1,108.1,108.1,108.2,108.2,108.4,108.5,108.5,108.6,108.8,108.9,108.9,109.1,109.2,109.2,109.3,109.4,109.5,109.5,109.6,109.6,110.2,110.6,110.6,110.7,110.7,110.8,110.8,110.9,110.9,110.8,110.8,110.9,111.3,111.4,111.5
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Footnotes:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Data for periods prior to January 2007 were calculated by linking 1997=100 data (see CANSIM table 327-0005) to the average of the 12 months of 2007.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
